timestamp,yes,no
2025-04-10 00:00:05,0.53,0.47
2025-04-11 00:00:05,0.315,0.685
2025-04-12 00:00:06,0.65,0.35
2025-04-13 00:00:05,0.52,0.48
2025-04-14 00:00:05,0.48,0.52
2025-04-15 00:00:05,0.635,0.365
2025-04-16 00:00:05,0.635,0.365
2025-04-17 00:00:06,0.68,0.32
2025-04-18 00:00:04,0.645,0.355
2025-04-19 00:00:06,0.63,0.37
2025-04-20 00:00:06,0.51,0.49
2025-04-21 00:00:06,0.475,0.525
2025-04-22 00:00:06,0.605,0.395
2025-04-23 00:00:07,0.545,0.455
2025-04-24 00:00:06,0.54,0.46
2025-04-25 00:00:06,0.54,0.46
2025-04-26 00:00:06,0.505,0.495
2025-04-27 00:00:05,0.51,0.49
2025-04-28 00:00:05,0.485,0.515
2025-04-29 00:00:05,0.485,0.515
2025-04-30 00:00:06,0.475,0.525
2025-05-01 00:00:06,0.4,0.6
2025-05-02 00:00:06,0.42,0.58
2025-05-03 00:00:06,0.34,0.66
2025-05-04 00:00:05,0.34,0.66
2025-05-05 00:00:05,0.34,0.66
2025-05-06 00:00:06,0.335,0.665
2025-05-07 00:00:05,0.38,0.62
2025-05-08 00:00:06,0.385,0.615
2025-05-09 00:00:07,0.495,0.505
2025-05-10 00:00:06,0.355,0.645
2025-05-11 00:00:06,0.42,0.58
2025-05-12 00:00:06,0.355,0.645
2025-05-13 00:00:06,0.495,0.505
2025-05-14 00:00:07,0.52,0.48
2025-05-15 00:00:07,0.725,0.275
2025-05-16 00:00:06,0.565,0.435
2025-05-17 00:00:07,0.58,0.42
2025-05-18 00:00:06,0.555,0.445
2025-05-19 00:00:06,0.57,0.43
2025-05-20 00:00:06,0.565,0.435
2025-05-21 00:00:06,0.55,0.45
2025-05-22 00:00:07,0.635,0.365
2025-05-23 00:00:07,0.625,0.375
2025-05-24 00:00:07,0.6,0.4
2025-05-25 00:00:06,0.63,0.37
2025-05-26 00:00:07,0.62,0.38
2025-05-27 00:00:06,0.625,0.375
2025-05-28 00:00:06,0.58,0.42
2025-05-29 00:00:07,0.555,0.445
2025-05-30 00:00:07,0.545,0.455
2025-05-31 00:00:07,0.545,0.455
2025-06-01 00:00:07,0.55,0.45
2025-06-02 00:00:06,0.55,0.45
2025-06-03 00:00:07,0.555,0.445
2025-06-04 00:00:06,0.565,0.435
2025-06-05 00:00:06,0.525,0.475
2025-06-06 00:00:06,0.47,0.53
2025-06-07 00:00:07,0.515,0.485
2025-06-08 00:00:07,0.545,0.455
2025-06-09 00:00:07,0.5,0.5
2025-06-10 00:00:06,0.495,0.505
2025-06-11 00:00:07,0.495,0.505
2025-06-12 00:00:07,0.49,0.51
2025-06-13 00:00:07,0.48,0.52
2025-06-14 00:00:08,0.485,0.515
2025-06-15 00:00:08,0.48,0.52
2025-06-16 00:00:07,0.48,0.52
2025-06-17 00:00:08,0.455,0.545
2025-06-18 00:00:08,0.43,0.57
2025-06-19 00:00:07,0.42,0.58
2025-06-20 00:00:08,0.415,0.585
2025-06-21 00:00:08,0.4,0.6
2025-06-22 00:00:06,0.395,0.605
2025-06-23 00:00:07,0.38,0.62
2025-06-24 00:00:07,0.32,0.68
2025-06-25 00:00:07,0.295,0.705
2025-06-26 00:00:08,0.295,0.705
2025-06-27 00:00:07,0.3,0.7
2025-06-28 00:00:07,0.305,0.695
2025-06-29 00:00:08,0.305,0.695
2025-06-30 00:00:07,0.305,0.695
2025-07-01 00:00:08,0.295,0.705
2025-07-02 00:00:07,0.26,0.74
2025-07-03 00:00:08,0.245,0.755
2025-07-04 00:00:08,0.22,0.78
2025-07-05 00:00:08,0.235,0.765
2025-07-06 00:00:07,0.225,0.775
2025-07-07 00:00:07,0.23,0.77
2025-07-08 00:00:08,0.24,0.76
2025-07-09 00:00:07,0.245,0.755
2025-07-10 00:00:08,0.315,0.685
2025-07-11 00:00:08,0.335,0.665
2025-07-12 00:00:09,0.355,0.645
2025-07-13 00:00:08,0.295,0.705
2025-07-14 00:00:07,0.365,0.635
2025-07-15 00:00:08,0.385,0.615
2025-07-16 00:00:08,0.415,0.585
2025-07-17 00:00:08,0.425,0.575
2025-07-18 00:00:08,0.405,0.595
2025-07-19 00:00:09,0.375,0.625
2025-07-20 00:00:08,0.425,0.575
2025-07-21 00:00:07,0.435,0.565
2025-07-22 00:00:09,0.435,0.565
2025-07-23 00:00:09,0.385,0.615
2025-07-24 00:00:09,0.39,0.61
2025-07-25 00:00:09,0.43,0.57
2025-07-26 00:00:09,0.435,0.565
2025-07-27 00:00:10,0.415,0.585
2025-07-28 00:00:09,0.42,0.58
2025-07-29 00:00:10,0.415,0.585
2025-07-30 00:00:10,0.395,0.605
2025-07-31 00:00:08,0.385,0.615
2025-08-01 00:00:09,0.385,0.615
2025-08-02 00:00:09,0.32,0.68
2025-08-03 00:00:08,0.235,0.765
2025-08-04 00:00:07,0.235,0.765
2025-08-05 00:00:08,0.23,0.77
2025-08-06 00:00:09,0.235,0.765
2025-08-07 00:00:05,0.235,
2025-08-08 00:00:10,0.225,
2025-08-09 00:00:09,0.275,
2025-08-10 00:00:10,0.275,
2025-08-11 00:00:07,0.275,
2025-08-12 00:00:05,0.265,
2025-08-13 00:00:09,0.245,
2025-08-14 00:00:07,0.215,
2025-08-15 00:00:02,0.215,
2025-08-16 00:00:07,0.225,
2025-08-17 00:00:07,0.215,
2025-08-18 00:00:05,0.235,
2025-08-19 00:00:10,0.235,
2025-08-20 00:00:07,0.235,
2025-08-21 00:00:02,0.23,
2025-08-22 00:00:02,0.225,
2025-08-23 00:00:14,0.195,
2025-08-24 00:00:05,0.195,
2025-08-25 00:00:15,0.195,
2025-08-26 00:00:03,0.195,
2025-08-27 00:00:13,0.19,
2025-08-28 00:00:06,0.19,0.81
2025-08-29 00:00:12,0.19,
2025-08-30 00:00:06,0.185,
2025-08-31 00:00:04,0.185,
2025-09-01 00:00:12,0.185,
2025-09-02 00:00:03,0.18,
2025-09-03 00:00:15,0.185,
2025-09-04 00:00:12,0.18,
2025-09-05 00:00:08,0.155,
2025-09-06 00:00:05,0.125,
2025-09-07 00:00:03,0.145,
2025-09-08 00:00:19,0.14,
2025-09-09 00:00:15,0.14,0.86
2025-09-10 00:00:03,0.145,
2025-09-11 00:00:09,0.135,
2025-09-12 00:00:23,0.13,
2025-09-13 00:00:10,0.125,
2025-09-14 00:00:05,0.125,
2025-09-15 00:00:13,0.125,
2025-09-16 00:00:16,0.125,
2025-09-17 00:00:19,0.125,
2025-09-18 00:00:06,0.125,
2025-09-19 00:00:15,0.11,
2025-09-20 00:00:09,0.115,
2025-09-21 00:00:11,0.115,
2025-09-22 00:00:07,0.11,
2025-09-23 00:00:06,0.105,
2025-09-24 00:00:13,0.105,
2025-09-25 00:00:07,0.105,
2025-09-26 00:00:07,0.115,
2025-09-27 00:00:08,0.105,
2025-09-28 00:00:03,0.11,
2025-09-29 00:00:10,0.105,
2025-09-30 00:00:08,0.11,
2025-10-01 00:00:03,0.11,
2025-10-02 00:00:06,0.095,
2025-10-03 00:00:11,0.1,
2025-10-04 00:00:09,0.09,
2025-10-05 00:00:05,0.085,0.915
2025-10-06 00:00:03,0.085,
2025-10-07 00:00:10,0.085,
2025-10-08 00:00:06,0.09,
2025-10-09 00:00:10,0.095,
2025-10-10 00:00:10,0.09,
2025-10-11 00:00:14,0.085,0.915
2025-10-12 00:00:12,0.09,
2025-10-13 00:00:10,0.09,
2025-10-14 00:00:03,0.095,
2025-10-15 00:00:12,0.095,
2025-10-16 00:00:21,0.09,
2025-10-17 00:00:14,0.09,
2025-10-18 00:00:08,0.085,
2025-10-19 00:00:08,0.085,
2025-10-20 00:00:11,0.09,
2025-10-21 00:00:19,0.095,
2025-10-22 00:00:17,0.09,
2025-10-23 00:00:09,0.085,
2025-10-23 09:22:05,0.085,
