timestamp,yes,no
2025-07-24 00:00:09,0.41,0.59
2025-07-25 00:00:09,0.445,0.555
2025-07-26 00:00:09,0.465,0.535
2025-07-27 00:00:10,0.49,0.51
2025-07-28 00:00:09,0.435,0.565
2025-07-29 00:00:10,0.375,0.625
2025-07-30 00:00:10,0.365,0.635
2025-07-31 00:00:08,0.365,0.635
2025-08-01 00:00:09,0.385,0.615
2025-08-02 00:00:09,0.385,0.615
2025-08-03 00:00:08,0.375,0.625
2025-08-04 00:00:07,0.375,0.625
2025-08-05 00:00:08,0.425,0.575
2025-08-06 00:00:09,0.45,0.55
2025-08-07 00:00:06,0.46,
2025-08-08 00:00:04,0.425,
2025-08-09 00:00:13,0.415,
2025-08-10 00:00:07,0.405,
2025-08-11 00:00:06,0.41,
2025-08-12 00:00:06,0.425,
2025-08-13 00:00:07,0.405,
2025-08-14 00:00:05,0.405,
2025-08-15 00:00:05,0.405,
2025-08-16 00:00:10,0.405,
2025-08-17 00:00:08,0.405,
2025-08-18 00:00:05,0.405,
2025-08-19 00:00:06,0.405,
2025-08-20 00:00:06,0.38,
2025-08-21 00:00:02,0.315,
2025-08-22 00:00:08,0.31,
2025-08-23 00:00:10,0.3,
2025-08-24 00:00:07,0.3,
2025-08-25 00:00:06,0.3,
2025-08-26 00:00:04,0.305,
2025-08-27 00:00:02,0.35,
2025-08-28 00:00:04,0.345,
2025-08-29 00:00:17,0.335,
2025-08-30 00:00:02,0.335,
2025-08-31 00:00:16,0.34,0.66
2025-09-01 00:00:07,0.335,
2025-09-02 00:00:07,0.335,
2025-09-03 00:00:14,0.335,
2025-09-04 00:00:05,0.33,
2025-09-05 00:00:08,0.33,
2025-09-06 00:00:02,0.335,
2025-09-07 00:00:09,0.32,
2025-09-08 00:00:13,0.32,
2025-09-09 00:00:11,0.315,
2025-09-10 00:00:14,0.315,
2025-09-11 00:00:09,0.325,
2025-09-12 00:00:11,0.325,
2025-09-13 00:00:04,0.325,
2025-09-14 00:00:07,0.33,
2025-09-15 00:00:12,0.35,
2025-09-16 00:00:06,0.34,
2025-09-17 00:00:11,0.35,
2025-09-18 00:00:05,0.345,
2025-09-19 00:00:19,0.355,
2025-09-20 00:00:15,0.36,
2025-09-21 00:00:04,0.36,
2025-09-22 00:00:08,0.36,
2025-09-23 00:00:09,0.36,
2025-09-24 00:00:08,0.365,
2025-09-25 00:00:06,0.36,0.64
2025-09-26 00:00:09,0.36,
2025-09-27 00:00:08,0.31,
2025-09-28 00:00:08,0.31,
2025-09-29 00:00:06,0.31,
2025-09-30 00:00:10,0.31,
2025-10-01 00:00:04,0.295,
2025-10-02 00:00:04,0.28,
2025-10-03 00:00:06,0.27,
2025-10-04 00:00:10,0.275,0.725
2025-10-05 00:00:05,0.275,0.725
2025-10-06 00:00:07,0.28,
2025-10-07 00:00:09,0.275,
2025-10-08 00:00:02,0.275,
2025-10-09 00:00:11,0.265,
2025-10-10 00:00:04,0.23,
2025-10-11 00:00:10,0.235,
2025-10-12 00:00:04,0.3,
2025-10-13 00:00:10,0.275,
2025-10-14 00:00:14,0.28,
2025-10-15 00:00:09,0.245,
2025-10-16 00:00:21,0.275,0.725
2025-10-17 00:00:15,0.26,
2025-10-18 00:00:15,0.255,
2025-10-19 00:00:08,0.23,
2025-10-20 00:00:15,0.21,
2025-10-21 00:00:05,0.195,
2025-10-22 00:00:26,0.17,
2025-10-23 00:00:12,0.17,
2025-10-24 00:00:22,0.17,
2025-10-25 00:00:19,0.175,
2025-10-26 00:00:24,0.19,
2025-10-26 16:36:07,0.34,
